"X1","X2","X3"
311,923,924
300,912,913
310,922,923
308,920,921
NA,NA,NA
315,927,928
313,925,926
NA,NA,NA
308,920,921
279,892,893
321,933,NA
323,934,935
327,938,939
327,938,939
329,940,941
326,937,938
32,652,653
333,944,945
329,940,941
334,945,946
NA,NA,NA
NA,NA,NA
NA,NA,NA
348,959,960
NA,NA,NA
343,954,955
341,952,953
346,957,958
NA,NA,NA
NA,NA,NA
NA,NA,NA
350,961,962
330,941,942
NA,NA,NA
301,913,914
330,941,942
NA,NA,NA
340,951,952
NA,NA,NA
NA,NA,NA
310,922,923
340,951,952
340,951,952
350,961,962
346,957,958
NA,NA,NA
NA,NA,NA
296,908,909
297,909,910
298,910,911
298,910,911
301,913,914
298,910,911
299,911,912
299,911,912
300,912,913
301,913,914
290,902,903
290,902,903
286,899,900
285,898,899
285,898,899
291,903,904
293,905,906
287,900,NA
287,900,NA
287,900,NA
289,901,902
291,903,904
298,910,911
359,969,970
355,965,966
320,932,NA
309,921,922
308,920,921
NA,NA,NA
NA,NA,NA
310,922,923
304,916,917
324,935,936
303,915,916
304,916,917
305,917,918
309,921,922
309,921,922
315,927,928
318,930,931
318,930,931
325,936,937
320,932,NA
322,933,934
329,940,941
327,938,939
NA,NA,NA
317,929,930
320,932,NA
320,932,NA
NA,NA,NA
308,920,921
302,914,915
338,949,950
340,951,952
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
335,946,947
338,949,950
342,953,954
340,951,952
NA,NA,NA
334,945,946
340,951,952
NA,NA,NA
342,953,954
NA,NA,NA
340,951,952
NA,NA,NA
NA,NA,NA
NA,NA,NA
279,892,893
299,911,912
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
